area,street,mins_to_underground,housing_type,ceiling_height_m,bathroom_type,view,renovation_type,house_material_type,parking,living_area,kitchen_area,construction_year,house_commisioned,finishing_type,price_per_meter,deal_conditions,url,mortgage_availability,transport_accessibility_score,address
Хорошево-Мневники,Живописная ул.,2025.0,Вторичка,32.0,3 совмещенных,На улицу,Без ремонта,Монолитный,Подземная,,36.8,,,,744500.0,свободная продажа,https://www.cian.ru/sale/flat/300005780/,возможна,,
Якиманка,Софийская наб.,10.0,Новостройка,303.0,,,Без отделки,Монолитный,Подземная,,,2026.0,Не сдан,Без отделки,2400000.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/303616429/,возможна,,
Пресненский,Звенигородское ш.,12.0,Вторичка,38.0,3 раздельных,,Дизайнерский,Монолитный,,,20.0,,,,943333.0,свободная продажа,https://www.cian.ru/sale/flat/307254747/,,,
Можайский,Можайское ш.,13.0,Вторичка / Пентхаус,3.0,3 раздельных,,Евроремонт,,Подземная,,20.0,,,,331633.0,свободная продажа,https://www.cian.ru/sale/flat/306462179/,,,
Пресненский,ул. Костикова,9.0,Новостройка / Пентхаус,3.0,"3 совмещенных, 1 раздельный",,С отделкой,Монолитный,,189.2,51.6,2023.0,Сдан,"Чистовая, чистовая с мебелью",1628550.0,свободная продажа,https://www.cian.ru/sale/flat/306541535/,,8.2,
,,12.0,Вторичка,32.0,"2 совмещенных, 1 раздельный",На улицу и двор,Без ремонта,Монолитный,Подземная,,16.2,,,,1219512.0,свободная продажа,https://www.cian.ru/sale/flat/304424290/,возможна,,
Пресненский,Московский международный деловой центр Москва-Сити территория,4.0,Вторичка / Апартаменты,4.0,"2 совмещенных, 1 раздельный",На улицу,Дизайнерский,,Подземная,,,,,,1400000.0,свободная продажа,https://www.cian.ru/sale/flat/299293543/,возможна,,
22,,12.0,Новостройка,35.0,"2 совмещенных, 1 раздельный",Во двор,,Монолитный,Подземная,68.4,45.7,2026.0,Не сдан,Без отделки,2115000.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/305505534/,,,
Арбат,Поварская ул.,6.0,Вторичка / Апартаменты,34.0,3 совмещенных,На улицу и двор,Без ремонта,,Подземная,,20.0,,,,1154027.0,свободная продажа,https://www.cian.ru/sale/flat/289533278/,,,
,,16.0,Вторичка,,,,Косметический,,,95.0,36.0,,,,269425.0,свободная продажа,https://www.cian.ru/sale/flat/308016287/,,,
Замоскворечье,Русские Сезоны жилой комплекс,3.0,Новостройка,,,,Черновая,Монолитно-кирпичный,,,,2025.0,Не сдан,Черновая,2000000.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/288206719/,,8.2,
,,7.0,Вторичка,,2 совмещенных,Во двор,Дизайнерский,Кирпичный,,,15.0,,,,837681.0,свободная продажа,https://www.cian.ru/sale/flat/292309522/,,,
,,15.0,Вторичка,,3 совмещенных,На улицу и двор,Дизайнерский,,,116.8,16.1,,,,300000.0,свободная продажа,https://www.cian.ru/sale/flat/307486949/,возможна,,
